Number,Type,Answer,Question,example1,example2,example3,example4,example5
49,2,"flatten","numpy에서 다차원 배열을 1차원으로 변환하는 함수는? (영문)",,,,,
50,1,"show","matplotlib에서 그래프를 화면에 출력하는 함수는?","draw","display","view","show","render"
51,3,"X","numpy에서 모든 연산은 기본적으로 복사본을 반환한다",,,,,
52,1,"vstack","numpy에서 배열을 수직으로 결합하는 함수는?","hstack","vstack","combine","append","merge"
53,2,"unique","numpy에서 배열에서 중복을 제거하는 함수는? (영문)",,,,,
54,1,"annotate","matplotlib에서 그래프에 주석을 추가하는 함수는?","note","text","label","annotate","caption"
55,3,"O","numpy는 브로드캐스팅 기능을 지원한다",,,,,
56,1,"cumsum","numpy에서 누적 합을 계산하는 함수는?","sum","cumsum","accumulate","total","add"
57,2,"axis","matplotlib에서 그래프의 축을 설정하는 함수는? (영문)",,,,,
58,1,"exp","numpy에서 각 요소의 지수 값을 계산하는 함수는?","exp","power","log","sqrt","pow"
59,1,"tick_params","matplotlib에서 축 눈금의 스타일을 설정하는 함수는?","axis","ticks","tick_params","grid","label"
60,3,"X","numpy는 2차원 배열만 다룰 수 있다",,,,,
61,1,"randn","numpy에서 정규 분포를 따르는 난수를 생성하는 함수는?","rand","randint","randn","uniform","random"
62,1,"figsize","matplotlib에서 그래프 크기를 설정하는 매개변수는?","size","dim","scale","figsize","length"
63,2,"std","numpy에서 표준편차를 계산하는 함수는? (영문)",,,,,
64,3,"O","numpy는 고성능 배열 연산을 지원한다",,,,,
65,1,"subplots","matplotlib에서 여러 개의 그래프를 한 번에 생성하는 함수는?","subplot","grid","figure","subplots","multi"
66,1,"np","numpy를 사용할 때 일반적으로 사용하는 약어는?","mp","np","nm","ny","na"
67,2,"dot","numpy에서 두 배열의 행렬 곱을 계산하는 함수는? (영문)",,,,,
68,1,"polar","matplotlib에서 극좌표 그래프를 그리는 함수는?","polar","scatter","pie","line","plot"
69,3,"X","numpy 배열은 단순한 리스트와 같다",,,,,
70,1,"axis","matplotlib에서 특정 축의 설정을 변경하는 함수는?","axes","layout","grid","axis","coord"
